Date,Time,Rud,Ele,Thr,Ail
2021-12-09,12:08:24.721,-4,6,-1020,3
2021-12-09,12:08:24.835,1,9,-1024,3
2021-12-09,12:08:24.944,-1,6,-1022,5
2021-12-09,12:08:25.051,0,6,-1020,5
2021-12-09,12:08:25.158,-2,6,-1022,6
2021-12-09,12:08:25.265,-1,7,-1024,3
2021-12-09,12:08:25.375,-1,6,-1020,3
2021-12-09,12:08:25.484,-2,6,-1022,5
2021-12-09,12:08:25.593,-2,6,-1020,2
2021-12-09,12:08:25.704,-2,5,-1022,5
2021-12-09,12:08:25.813,-2,9,-1020,-1
2021-12-09,12:08:25.924,-4,6,-1024,5
2021-12-09,12:08:26.031,-2,6,-1022,5
2021-12-09,12:08:26.138,-2,5,-1020,5
2021-12-09,12:08:26.246,-2,6,-1022,5
2021-12-09,12:08:26.356,-2,6,-1020,6
2021-12-09,12:08:26.465,-1,6,-1024,3
2021-12-09,12:08:26.575,-1,6,-1020,3
2021-12-09,12:08:26.683,-2,5,-1024,5
2021-12-09,12:08:26.792,-4,7,-1020,5
2021-12-09,12:08:26.901,-2,6,-1024,5
2021-12-09,12:08:27.009,-4,6,-1020,2
2021-12-09,12:08:27.118,-2,6,-1024,5
2021-12-09,12:08:27.226,-1,6,-1024,1
2021-12-09,12:08:27.334,-1,6,-1020,3
2021-12-09,12:08:27.444,-4,7,-1022,5
2021-12-09,12:08:27.553,-4,6,-1020,6
2021-12-09,12:08:27.661,0,6,-1024,3
2021-12-09,12:08:27.769,-2,7,-1024,5
2021-12-09,12:08:27.879,0,6,-1022,6
2021-12-09,12:08:27.988,-4,6,-1022,5
2021-12-09,12:08:28.098,-2,5,-1024,5
2021-12-09,12:08:28.208,-2,6,-1022,3
2021-12-09,12:08:28.318,-2,5,-1020,3
2021-12-09,12:08:28.427,-2,7,-1022,3
2021-12-09,12:08:28.534,0,6,-1024,3
2021-12-09,12:08:28.643,0,7,-1022,5
2021-12-09,12:08:28.752,-2,6,-1022,3
2021-12-09,12:08:28.863,-4,6,-1020,6
2021-12-09,12:08:28.972,-2,7,-1004,5
2021-12-09,12:08:29.080,-2,6,-948,6
2021-12-09,12:08:29.189,-1,7,-922,3
2021-12-09,12:08:29.296,-1,64,-475,2
2021-12-09,12:08:29.406,80,259,75,-85
2021-12-09,12:08:29.514,215,312,211,-83
2021-12-09,12:08:29.622,288,279,208,0
2021-12-09,12:08:29.730,258,159,173,208
2021-12-09,12:08:29.842,208,115,148,446
2021-12-09,12:08:29.952,215,100,224,462
2021-12-09,12:08:30.059,227,117,204,212
2021-12-09,12:08:30.168,268,137,135,2
2021-12-09,12:08:30.276,255,162,89,5
2021-12-09,12:08:30.385,205,201,97,3
2021-12-09,12:08:30.495,179,206,134,18
2021-12-09,12:08:30.605,230,294,-211,94
2021-12-09,12:08:30.714,253,294,-487,89
2021-12-09,12:08:30.824,233,280,-521,27
2021-12-09,12:08:30.933,158,298,-408,2
2021-12-09,12:08:31.041,72,310,-180,3
2021-12-09,12:08:31.148,39,315,-182,5
2021-12-09,12:08:31.255,25,312,-171,1
2021-12-09,12:08:31.364,15,327,-179,1
2021-12-09,12:08:31.474,6,329,-218,-14
2021-12-09,12:08:31.583,-1,299,-145,-64
2021-12-09,12:08:31.693,0,296,-123,-14
2021-12-09,12:08:31.802,0,248,-10,3
2021-12-09,12:08:31.913,-2,243,-53,86
2021-12-09,12:08:32.023,22,201,23,156
2021-12-09,12:08:32.131,24,186,59,224
2021-12-09,12:08:32.241,1,192,115,36
2021-12-09,12:08:32.348,6,241,95,2
2021-12-09,12:08:32.455,27,248,56,14
2021-12-09,12:08:32.564,6,328,-1,3
2021-12-09,12:08:32.673,-10,396,-25,2
2021-12-09,12:08:32.780,-108,421,-9,-33
2021-12-09,12:08:32.888,-244,387,19,-156
2021-12-09,12:08:32.995,-508,285,166,-375
2021-12-09,12:08:33.104,-568,261,218,-409
2021-12-09,12:08:33.216,-618,245,235,-485
2021-12-09,12:08:33.326,-608,330,212,-559
2021-12-09,12:08:33.433,-555,389,205,-477
2021-12-09,12:08:33.543,-422,543,119,-240
2021-12-09,12:08:33.653,-362,614,53,-275
2021-12-09,12:08:33.764,-328,654,-16,-280
2021-12-09,12:08:33.872,-258,690,-69,-222
2021-12-09,12:08:33.980,-243,703,-71,-183
2021-12-09,12:08:34.090,-270,700,-3,-183
2021-12-09,12:08:34.198,-271,682,104,-217
2021-12-09,12:08:34.307,-269,689,88,-212
2021-12-09,12:08:34.418,-412,593,44,-422
2021-12-09,12:08:34.528,-684,483,65,-625
2021-12-09,12:08:34.636,-761,390,155,-764
2021-12-09,12:08:34.745,-765,320,230,-870
2021-12-09,12:08:34.854,-746,319,231,-888
2021-12-09,12:08:34.964,-699,350,230,-862
2021-12-09,12:08:35.073,-670,347,254,-840
2021-12-09,12:08:35.181,-672,337,255,-824
2021-12-09,12:08:35.292,-672,356,216,-807
2021-12-09,12:08:35.400,-635,377,100,-798
2021-12-09,12:08:35.507,-608,384,-60,-811
2021-12-09,12:08:35.617,-531,374,-154,-819
2021-12-09,12:08:35.726,-449,394,-171,-780
2021-12-09,12:08:35.835,-405,415,-177,-711
2021-12-09,12:08:35.944,-440,430,-124,-624
2021-12-09,12:08:36.050,-289,447,-60,-356
2021-12-09,12:08:36.156,162,354,157,250
2021-12-09,12:08:36.264,539,171,313,610
2021-12-09,12:08:36.373,732,140,211,730
2021-12-09,12:08:36.482,791,164,121,711
2021-12-09,12:08:36.590,791,206,67,608
2021-12-09,12:08:36.698,635,310,50,532
2021-12-09,12:08:36.805,355,451,11,325
2021-12-09,12:08:36.912,244,464,-28,262
